grid_id,year,built_share,built_pct
G001068,2016,0.0022021858823529413,0.22021858823529414
G001068,2017,0.002209869803921569,0.2209869803921569
G001068,2018,0.0022175537254901963,0.2217553725490196
G001068,2019,0.0022252376470588238,0.22252376470588237
G001068,2020,0.0022329215686274512,0.22329215686274512
G001068,2021,0.0022329215686274512,0.22329215686274512
G001068,2022,0.0022329215686274512,0.22329215686274512
G001068,2023,0.0022329215686274512,0.22329215686274512
G001068,2024,0.0022329215686274512,0.22329215686274512
G001068,2025,0.0022329215686274512,0.22329215686274512
G001069,2014,0.034675027450980396,3.46750274509804
G001069,2015,0.034675027450980396,3.46750274509804
G001069,2016,0.0349778368627451,3.49778368627451
G001069,2017,0.03528064627450981,3.528064627450981
G001069,2018,0.035583455686274516,3.5583455686274514
G001069,2019,0.03588626509803922,3.5886265098039223
G001069,2020,0.03618907450980393,3.618907450980393
G001069,2021,0.03618907450980393,3.618907450980393
G001069,2022,0.03618907450980393,3.618907450980393
G001069,2023,0.03618907450980393,3.618907450980393
G001069,2024,0.03618907450980393,3.618907450980393
G001069,2025,0.03618907450980393,3.618907450980393
G001070,2014,0.00013806274509803922,0.013806274509803922
G001070,2015,0.00013806274509803922,0.013806274509803922
G001070,2016,0.00013846274509803923,0.013846274509803923
G001070,2017,0.00013886274509803922,0.013886274509803922
G001070,2018,0.00013926274509803923,0.013926274509803922
G001070,2019,0.0001396627450980392,0.01396627450980392
G001070,2020,0.00014006274509803922,0.014006274509803922
G001070,2021,0.00014006274509803922,0.014006274509803922
G001070,2022,0.00014006274509803922,0.014006274509803922
G001070,2023,0.00014006274509803922,0.014006274509803922
G001070,2024,0.00014006274509803922,0.014006274509803922
G001070,2025,0.00014006274509803922,0.014006274509803922
G001071,2014,0.000147,0.0147
G001071,2015,0.000147,0.0147
G001071,2016,0.0001478,0.014779999999999998
G001071,2017,0.0001486,0.01486
G001071,2018,0.0001494,0.01494
G001071,2019,0.00015020000000000002,0.015020000000000002
G001071,2020,0.000151,0.0151
G001071,2021,0.000151,0.0151
G001071,2022,0.000151,0.0151
G001071,2023,0.000151,0.0151
G001071,2024,0.000151,0.0151
G001071,2025,0.000151,0.0151
G001072,2014,0.000306,0.030600000000000002
G001072,2015,0.000306,0.030600000000000002
G001072,2016,0.00030900000000000003,0.030900000000000004
G001072,2017,0.000312,0.0312
G001072,2018,0.000315,0.0315
G001072,2019,0.000318,0.031799999999999995
G001072,2020,0.000321,0.0321
G001072,2021,0.000321,0.0321
G001072,2022,0.000321,0.0321
G001072,2023,0.000321,0.0321
G001072,2024,0.000321,0.0321
G001072,2025,0.000321,0.0321
G001073,2014,0.003556,0.3556
G001073,2015,0.003556,0.3556
G001073,2016,0.0035938000000000003,0.35938000000000003
G001073,2017,0.0036316,0.36316
G001073,2018,0.0036694,0.36694000000000004
G001073,2019,0.0037072,0.37072
G001073,2020,0.003745,0.3745
G001073,2021,0.003745,0.3745
G001073,2022,0.003745,0.3745
G001073,2023,0.003745,0.3745
G001073,2024,0.003745,0.3745
G001073,2025,0.003745,0.3745
G001074,2014,0.0,0.0
G001074,2015,0.0,0.0
G001074,2016,0.0,0.0
G001074,2017,0.0,0.0
G001074,2018,0.0,0.0
G001074,2019,0.0,0.0
G001074,2020,0.0,0.0
G001074,2021,0.0,0.0
G001074,2022,0.0,0.0
G001074,2023,0.0,0.0
G001074,2024,0.0,0.0
G001074,2025,0.0,0.0
G001075,2014,0.0002993607843137255,0.02993607843137255
G001075,2015,0.0002993607843137255,0.02993607843137255
G001075,2016,0.00029984392156862745,0.029984392156862744
G001075,2017,0.0003003270588235294,0.03003270588235294
G001075,2018,0.00030081019607843137,0.030081019607843137
G001075,2019,0.0003012933333333333,0.03012933333333333
G001075,2020,0.0003017764705882353,0.030177647058823528
G001075,2021,0.0003017764705882353,0.030177647058823528
G001075,2022,0.0003017764705882353,0.030177647058823528
G001075,2023,0.0003017764705882353,0.030177647058823528
G001075,2024,0.0003017764705882353,0.030177647058823528
G001075,2025,0.0003017764705882353,0.030177647058823528
